Node,Time,Name,Value
W064,2025-03-01T03:25:26.1239744Z,env.traffic.count.incoming.right,2
W064,2025-03-01T03:25:26.1239744Z,env.traffic.count.outgoing.straight,15
W064,2025-03-01T03:25:26.1239744Z,env.traffic.count.total,17
W064,2025-03-01T03:15:15.768877056Z,env.traffic.count.incoming.left,6
W064,2025-03-01T03:15:15.768877056Z,env.traffic.count.incoming.right,9
W064,2025-03-01T03:15:15.768877056Z,env.traffic.count.incoming.straight,9
W064,2025-03-01T03:15:15.768877056Z,env.traffic.count.outgoing.straight,5
W064,2025-03-01T03:15:15.768877056Z,env.traffic.count.total,29
W064,2025-03-01T03:05:53.33696896Z,env.traffic.count.incoming.left,2
W064,2025-03-01T03:05:53.33696896Z,env.traffic.count.incoming.right,4
W064,2025-03-01T03:05:53.33696896Z,env.traffic.count.incoming.straight,16
W064,2025-03-01T03:05:53.33696896Z,env.traffic.count.outgoing.straight,24
W064,2025-03-01T03:05:53.33696896Z,env.traffic.count.total,46
W064,2025-03-01T02:56:11.988882432Z,env.traffic.count.incoming.left,5
W064,2025-03-01T02:56:11.988882432Z,env.traffic.count.incoming.right,8
W064,2025-03-01T02:56:11.988882432Z,env.traffic.count.incoming.straight,5
W064,2025-03-01T02:56:11.988882432Z,env.traffic.count.outgoing.straight,6
W064,2025-03-01T02:56:11.988882432Z,env.traffic.count.total,24
W064,2025-03-01T02:47:07.709382656Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T02:47:07.709382656Z,env.traffic.count.outgoing.straight,11
W064,2025-03-01T02:47:07.709382656Z,env.traffic.count.total,13
W064,2025-03-01T02:37:38.168745984Z,env.traffic.count.incoming.left,2
W064,2025-03-01T02:37:38.168745984Z,env.traffic.count.incoming.right,1
W064,2025-03-01T02:37:38.168745984Z,env.traffic.count.outgoing.straight,3
W064,2025-03-01T02:37:38.168745984Z,env.traffic.count.total,6
W064,2025-03-01T02:28:59.496130304Z,env.traffic.count.incoming.left,1
W064,2025-03-01T02:28:59.496130304Z,env.traffic.count.incoming.right,7
W064,2025-03-01T02:28:59.496130304Z,env.traffic.count.incoming.straight,21
W064,2025-03-01T02:28:59.496130304Z,env.traffic.count.outgoing.straight,19
W064,2025-03-01T02:28:59.496130304Z,env.traffic.count.total,48
W064,2025-03-01T02:19:34.663556608Z,env.traffic.count.incoming.left,6
W064,2025-03-01T02:19:34.663556608Z,env.traffic.count.incoming.right,5
W064,2025-03-01T02:19:34.663556608Z,env.traffic.count.incoming.straight,5
W064,2025-03-01T02:19:34.663556608Z,env.traffic.count.outgoing.straight,7
W064,2025-03-01T02:19:34.663556608Z,env.traffic.count.total,23
W064,2025-03-01T02:10:14.642440704Z,env.traffic.count.incoming.right,1
W064,2025-03-01T02:10:14.642440704Z,env.traffic.count.incoming.straight,4
W064,2025-03-01T02:10:14.642440704Z,env.traffic.count.outgoing.straight,16
W064,2025-03-01T02:10:14.642440704Z,env.traffic.count.total,21
W064,2025-03-01T02:01:14.734998272Z,env.traffic.count.incoming.left,4
W064,2025-03-01T02:01:14.734998272Z,env.traffic.count.incoming.right,1
W064,2025-03-01T02:01:14.734998272Z,env.traffic.count.incoming.straight,3
W064,2025-03-01T02:01:14.734998272Z,env.traffic.count.outgoing.straight,13
W064,2025-03-01T02:01:14.734998272Z,env.traffic.count.total,21
W064,2025-03-01T01:52:32.155643392Z,env.traffic.count.incoming.left,5
W064,2025-03-01T01:52:32.155643392Z,env.traffic.count.incoming.right,1
W064,2025-03-01T01:52:32.155643392Z,env.traffic.count.incoming.straight,4
W064,2025-03-01T01:52:32.155643392Z,env.traffic.count.outgoing.straight,13
W064,2025-03-01T01:52:32.155643392Z,env.traffic.count.total,23
W064,2025-03-01T01:42:02.210897152Z,env.traffic.count.incoming.left,4
W064,2025-03-01T01:42:02.210897152Z,env.traffic.count.incoming.right,5
W064,2025-03-01T01:42:02.210897152Z,env.traffic.count.incoming.straight,8
W064,2025-03-01T01:42:02.210897152Z,env.traffic.count.outgoing.straight,6
W064,2025-03-01T01:42:02.210897152Z,env.traffic.count.total,23
W064,2025-03-01T01:33:50.920755456Z,env.traffic.count.incoming.right,1
W064,2025-03-01T01:33:50.920755456Z,env.traffic.count.outgoing.straight,7
W064,2025-03-01T01:33:50.920755456Z,env.traffic.count.total,8
